name,sourceJsonPath,description,longDescription,categories,relatedBlocks,includeInWebDocumentation,part_1_name,part_1_description,part_1_type,part_2_name,part_2_description,part_2_type,part_3_name,part_3_description,part_3_type,part_4_name,part_4_description,part_4_type,part_5_name,part_5_description,part_5_type,part_6_name,part_6_description,part_6_type,part_7_name,part_7_description,part_7_type,part_8_name,part_8_description,part_8_type,part_9_name,part_9_description,part_9_type,part_10_name,part_10_description,part_10_type,part_11_name,part_11_description,part_11_type,part_12_name,part_12_description,part_12_type,part_13_name,part_13_description,part_13_type,part_14_name,part_14_description,part_14_type,part_15_name,part_15_description,part_15_type,part_16_name,part_16_description,part_16_type,part_17_name,part_17_description,part_17_type,part_18_name,part_18_description,part_18_type,part_19_name,part_19_description,part_19_type,part_20_name,part_20_description,part_20_type,part_21_name,part_21_description,part_21_type,part_22_name,part_22_description,part_22_type,part_23_name,part_23_description,part_23_type,part_24_name,part_24_description,part_24_type,part_25_name,part_25_description,part_25_type
bandpass,../NewPatch/Assets/Blocks\bandpass\bandpass.json,Limit the incoming signal to a narrow frequency band.,,"[""Audio/Filters""]",[],True,input,The input signal to filter,stream input,Frequency,The center frequency of the filter.,stream input,Bandwidth,How steep the sides of the bandpass should be.,stream input,Output,The filtered output signal,stream output,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bar,../NewPatch/Assets/Blocks\bar\bar.json,,,"[""Experimental""]",[],True,s_IN_0,,,s_IN_1,,,s_IN_2,,,s_IN_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
beat_time,../NewPatch/Assets/Blocks\beat_time\beat_time.json,The progress of your beat. You can control tempo / stop / restart with timecontrol block.,,"[""Logic/Timing""]",[],True,Sphere,,,e_OUT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bell_filter,../NewPatch/Assets/Blocks\bell_filter\bell_filter.json,Boosts or cuts a specific frequency band,Boosts or cuts a specific frequency band,"[""Audio/Filters""]",[],True,input,The input signal to filter,stream input,Frequency,The frequency to boost or cut,stream input,Gain,How much to boost or cut the selected frequency.,stream input,Bandwidth,How much frequencies around the center will be boosted or cut.,stream input,Output,The filtered output signal,stream output,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bernoulli,../NewPatch/Assets/Blocks\bernoulli\bernoulli.json,"Routes an incoming jolt to either of two outputs based on probability. With probability value set closer to 0 the jolt will more like go though output A, while if value will be set closer to 1 - though output B.",,"[""Logic/Conditional""]","[""random"", ""sequence_random""]",True,Probability,Probability distribution value.,stream input,Output A,Emits jolt value based on set probability.,jolt output,Output B,Emits jolt value based on set probability.,jolt output,Input,Receives jolt value which will be passed to either of the outputs.,jolt input,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bg_nebula,../NewPatch/Assets/Blocks\bg_nebula\bg_nebula.json,"Background for the environment 

write in the console:

spawn bg_nebula",,[],[],True,VR Grab Handle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bg_violin,../NewPatch/Assets/Blocks\bg_violin\bg_violin.json,,,[],[],False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bigcave,../NewPatch/Assets/Blocks\bigcave\bigcave.json,,,[],[],False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
blobscreen,../NewPatch/Assets/Blocks\blobscreen\blobscreen.json,,,"[""Interfaces/Special""]",[],False,resize,Grab to change the size of the touch screen,interactive,blobs,Grab and drag to change the number of blobs..,interactive,num_columns,Change the number of columns shown on the display.,knob,num_rows,Change the number of columns shown on the display.,knob,fuzz,Sets the amount of fuzz on the blobs.,,position_x,Sets the X position of the blob.,jolt input,position_y,Sets the y position of the blob.,jolt input,position_z,Sets the z position of the blob.,jolt input,enabled,"Send a 1 to enable the blob, 0 to disable..",jolt input,pulse,Send a jolt to make the blob bounce.,jolt input,pulse,Send a jolt to make the blob bounce.,jolt input,amp,Sets the intensity of the blob.,jolt input,character,Sets the character of the blob.,jolt input,blob,No sure what this one does.,jolt input,loop,"Send 1 to enable looping, 0 to disable.",jolt input,loop_select,Send jolts with different values to create and recall multiple loops.,jolt input,loop_length,Sets the length of the current loop in beats.,jolt input,position_x,Emits the x position of the blob.,jolt output,position_y,Emits the y position of the blob.,jolt output,position_z,Emits the z position of the blob.,jolt output,touch,Emits a jolt when you touch the blob.,jolt output,trigger,Emits how far down the pistol trigger is pressed while grabbing the blob.,jolt output,cross,Emits a jolt whenever a blob crosses between to columns.,jolt output,enabled,Emits 1 when the blobs is enabled and 0 when disabled.,jolt output,loop progress,Emits a value between 0 and 1 indicating how far along this blob is in its loop.,jolt output
block_distance,../NewPatch/Assets/Blocks\block_distance\block_distance.json,,,"[""Motion/Positioning""]",[],True,InteractiveSelector,,,distance output,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
block_follow,../NewPatch/Assets/Blocks\block_follow\block_follow.json,Attach blocks or the player to a moving block.,,"[""Motion/Positioning""]",[],False,Followers,Block which will follow the target.,,Target,Moving target for the blocks to follow.,,Grab,,,Factor,"How much should it follow the target (0: not at all, 1: 100%)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
