name,sourceJsonPath,description,longDescription,categories,relatedBlocks,includeInWebDocumentation,part_1_name,part_1_description,part_1_type,part_2_name,part_2_description,part_2_type,part_3_name,part_3_description,part_3_type,part_4_name,part_4_description,part_4_type,part_5_name,part_5_description,part_5_type,part_6_name,part_6_description,part_6_type,part_7_name,part_7_description,part_7_type,part_8_name,part_8_description,part_8_type,part_9_name,part_9_description,part_9_type,part_10_name,part_10_description,part_10_type,part_11_name,part_11_description,part_11_type,part_12_name,part_12_description,part_12_type,part_13_name,part_13_description,part_13_type,part_14_name,part_14_description,part_14_type,part_15_name,part_15_description,part_15_type,part_16_name,part_16_description,part_16_type,part_17_name,part_17_description,part_17_type,part_18_name,part_18_description,part_18_type,part_19_name,part_19_description,part_19_type,part_20_name,part_20_description,part_20_type,part_21_name,part_21_description,part_21_type,part_22_name,part_22_description,part_22_type,part_23_name,part_23_description,part_23_type,part_24_name,part_24_description,part_24_type,part_25_name,part_25_description,part_25_type
cactus_small,../NewPatch/Assets/Blocks\cactus_small\cactus_small.json,,,"[""Plants""]",[],False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cactus_tall,../NewPatch/Assets/Blocks\cactus_tall\cactus_tall.json,,,"[""Plants""]",[],False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
camera,../NewPatch/Assets/Blocks\camera\camera.json,"Records the gameplay as a video file. Active cameras appear as the gameview. You can record or set cameras active either through the 2D desktop GUI or by pressing the buttons physically on the component in VR. Press the record/stop icon for recording, press the camera icon to set cameras active. Press the folder icon to open the saving destination, it is set to ÃƒÂ¯Ã‚Â¿Ã‚Â½C:\Users\XXX\Documents\PatchÃƒÂ¯Ã‚Â¿Ã‚Â½",,"[""Experimental""]",[],True,*," connect a button and press it to set cameras active",,camera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cameramanager,../NewPatch/Assets/Blocks\cameramanager\cameramanager.json, Gives you a preview screen and manages cameras,,"[""Experimental""]",[],True,*,* ,,cameramanager,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cave1,../NewPatch/Assets/Blocks\cave1\cave1.json,,,"[""Terrains""]",[],False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cave2,../NewPatch/Assets/Blocks\cave2\cave2.json,,,"[""Terrains""]",[],False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cavepart1,../NewPatch/Assets/Blocks\cavepart1\cavepart1.json,,,[],[],False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cavepart2,../NewPatch/Assets/Blocks\cavepart2\cavepart2.json,,,[],[],False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cavepart3,../NewPatch/Assets/Blocks\cavepart3\cavepart3.json,,,[],[],False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cavepart4,../NewPatch/Assets/Blocks\cavepart4\cavepart4.json,,,[],[],False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
center_of_mass,../NewPatch/Assets/Blocks\center_of_mass\center_of_mass.json,Set the physical center of mass of a group. (to be used in combination with Make Physical),,"[""Motion/Physics""]",[],False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chain,../NewPatch/Assets/Blocks\chain\chain.json,"Deprecated, instead use pass or pass_in / pass_out",,"[""Deprecated""]",[],True,emitter,,,eR_main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
clamp,../NewPatch/Assets/Blocks\clamp\clamp.json,"Clamps a value inside a specified range - meaning, input is truncated within the range from set minimum to set maximum.",,"[""Audio/Converters""]","[""map"", ""rtou"", ""utor""]",True,Input,Value to be clamped within the range.,stream input,Range minimum,Minimum of the clamp range,stream input,Range maximum,Maximum of the clamp range.,stream input,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
clock,../NewPatch/Assets/Blocks\clock\clock.json,The clock allows you to set an increase to your given value every second.,,"[""Logic/Timing""]",[],True,s_IN," (INa)",,eR_seState, set clock state,,eR_setState,,,Sphere,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cmd,../NewPatch/Assets/Blocks\cmd\cmd.json,,,[],[],True,esReciver,,,Button,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
collider,../NewPatch/Assets/Blocks\collider\collider.json,"Used to build devices that interact with physics-enabled blocks, e.g. mallets and beaters.",,"[""Interfaces/Tap""]",[],False,Collision,Sends out the velocity whenever a collision happens.,jolt output,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
coloroven,../NewPatch/Assets/Blocks\coloroven\coloroven.json,,,"[""Deprecated""]",[],True,red,,,green,,,blue,,,body,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
color_brush,../NewPatch/Assets/Blocks\color_brush\color_brush.json,Let you easily change color of blocks.,,"[""Visuals/Design""]",[],False,Color,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
compare,../NewPatch/Assets/Blocks\compare\compare.json,"Compares a jolt value with a stream value and outputs result of the comparison in the form of a boolean value (false - 0, true - 1).",,"[""Logic/Conditional""]","[""if_else""]",True,Output,"Emits boolean result (false - 0, true - 1) of jolt and stream values comparison on each received jolt.",jolt output,Compare with,Sets the value that will be compared with the incoming value from the jolt input (without triggering the output).,stream input,Input,"Receives value which will be compared with value set in the stream input, triggers the comparison.",jolt input,Comparison operation,Sets the type of the comparison operation.,interactive,SetTypeREciever,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
constant,../NewPatch/Assets/Blocks\constant\constant.json,"Outputs various useful math constants:
pi: the trigonometric constant
sr: sample rate
sp: sample period
e: Euler's constant
bpm: tempo in bpm
bp: beat period (sec. pr. beat).",,"[""Logic/Operators""]",[],True,Output,Emits the value of the selected constant whenever it changes or a jolt is received.,jolt output,Constant,Selects which constant to output.,knob,Trigger,Triggers the output to emit the selected constant.,jolt input,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
contain_text,../NewPatch/Assets/Blocks\contain_text\contain_text.json,Checks if the given text blocks contain a specific word or pattern in their content and outputs the occurrence count of the search.,,[],[],False,Search pattern,The pattern to search in the given text.,,Source Text,The source text to search in.,,Manual Trigger,You can connect a jolt here so it doesn't automatically trigger itself when source blocks change.,,Occurence Result,Output 0 to N number depending on the occurences found.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
controllerposition,../NewPatch/Assets/Blocks\controllerposition\controllerposition.json,Outputs position of each controller in relation to the block's position,Useful block for creating interactions that responds to user proximity,"[""Interfaces/Move""]","[""controloutput"", ""controllerrotation"", ""moveanalysis"", ""hapticcontrol""]",True,X position,Emits distance of the controller along the X axis in relation to the block's position,jolt output,Y position,Emits distance of the controller along the Y axis in relation to the block's position,jolt output,Z position,Emits distance of the controller along the Z axis in relation to the block's position,jolt output,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
controllerrotation,../NewPatch/Assets/Blocks\controllerrotation\controllerrotation.json,Outputs rotation angles of each controller,,"[""Interfaces/Move""]","[""controloutput"", ""controllerposition"", ""moveanalysis"", ""hapticcontrol""]",True,X rotation,Emits value of the rotation around the X Axis in degrees (0-359 range),jolt output,Y rotation,Emits value of the rotation around the Y Axis in degrees (0-359 range),jolt output,Z rotation,Emits value of the rotation around the Z Axis in degrees (0-359 range),jolt output,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
controloutput,../NewPatch/Assets/Blocks\controloutput\controloutput.json,Outputs various data from the controllers (grip/trigger/buttons/joystick...),,"[""Interfaces/Move""]","[""controllerrotation"", ""controllerposition"", ""moveanalysis"", ""hapticcontrol""]",True,Trigger Right,Emits values between 0-1 when right controller's trigger is squeezed,jolt output,Grip Right,Emits values between 0-1 when right controller's grip is squeezed,jolt output,Button A Right,Emits 1 when A button on the right controller is pressed,jolt output,Button B Right,Emits 1 when B button on the right controller is pressed,jolt output,Head Distance,Emits distance between the head and the controller,jolt output,Trigger Left,Emits values between 0-1 when left controller's trigger is squeezed,jolt output,Grip Left,Emits values between 0-1 when left controller's grip is squeezed,jolt output,Button A Left,Emits 1 when A button on the left controller is pressed,jolt output,Button B Left,Emits 1 when B button on the left controller is pressed,jolt output,Distance Between Controllers,Emits distance between the controllers,jolt output,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
coral_01,../NewPatch/Assets/Blocks\coral_01\coral_01.json,,,"[""Props""]",[],False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
coral_02,../NewPatch/Assets/Blocks\coral_02\coral_02.json,,,"[""Props""]",[],False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cos,../NewPatch/Assets/Blocks\cos\cos.json,Calculates cosine value of A,,"[""Audio/Converters""]","[""sin""]",True,s_IN_0," a",,A,Value for which the cosine will be calculated.,stream input,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
counter,../NewPatch/Assets/Blocks\counter\counter.json,Counts the sum of incoming jolts values.,,"[""Logic/Sequencing""]","[""cyclecounter"", ""nth""]",True,Set,Sets current count value and triggers the output.,jolt input,Output,Emits the current count value as a jolt.,jolt output,Increment,Counter increment value. Each received jolt value is added to the count and triggers the output.,jolt input,Knob,Sets the value.,interactive,Button,Triggers the value set by the knob.,interactive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
crystals,../NewPatch/Assets/Blocks\crystals\crystals.json,,,"[""Props""]",[],False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
custom_knob,../NewPatch/Assets/Blocks\custom_knob\custom_knob.json,,,"[""Interfaces/Tweak""]",[],False,Knob,Use trigger to interact.,,Input,Change knob value.,,Output,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
custom_knob2,../NewPatch/Assets/Blocks\custom_knob2\custom_knob2.json,,,"[""Interfaces/Tweak""]",[],False,Knob,Use trigger to interact.,,Input,Change knob value.,,Output,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
custom_slider,../NewPatch/Assets/Blocks\custom_slider\custom_slider.json,A slider that be used to control various things via jolts.,Sends out a jolt with a value between 0 and 1 that indicates the position of the slider thumb. The jolt input can be used to set the slider's value from elsewhere.,"[""Interfaces/Tweak""]",[],True,Thumb,Press trigger button and move to change the slider's value.,interactive,Output,Sends out the slider's value whenever it changes.,jolt output,Input,Sets the value of the slider.,jolt input,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
custom_toggle,../NewPatch/Assets/Blocks\custom_toggle\custom_toggle.json,Toggle button with a loading circle around it.,,"[""Interfaces/Tap""]",[],False,state,,,set state,,,progress,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cyclecounter,../NewPatch/Assets/Blocks\cyclecounter\cyclecounter.json,Counts the number of received jolts in a looping manner.,,"[""Logic/Sequencing""]","[""counter""]",True,cyclecounter,,,Cycle size,Sets the value at which the counter will reset and start counting from zero again.,stream input,Output,Emits the current count value as a jolt.,jolt output,Increment,Counter increment trigger. Each received jolt triggers the count to increase by one.,jolt input,Set,Sets current count value and triggers the output.,jolt input,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
data_array,../NewPatch/Assets/Blocks\data_array\data_array.json,"Store and retrieve values from an array using indices to build presets, sequencers, etc..",The data_array block can be used to store values to be recalled later. Sending an index,"[""Logic/Sequencing""]",[],True,Read index,Send a jolt to read the value at a given index.,jolt input,Write index,Send a jolt to select which index will be written to next time a value is received.,jolt input,value,Send a jolt to write a value to the index selected via the 'Write index' input,jolt input,value,Emit the stored value when a jolt is received through the 'Read index' jolt input.,jolt output,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
decay,../NewPatch/Assets/Blocks\decay\decay.json,A decay envelope - decays the input value to target value over a duration of time.,,"[""Audio/Generators""]","[""envelope_ad""]",True,Target value,Sets the target value the output will decay towards.,interactive,Half time,Sets how long it will take for the output to go halfway towards the target value (in seconds).,stream input,ButonPivot," push",,Knob_Pivot, value,,Knob,Sets value from which the decay will begin.,interactive,Button,Triggers the decay envelope.,interactive,Set state,Sets the value from which the decay will begin and triggers the decay envelope.,jolt input,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
delay,../NewPatch/Assets/Blocks\delay\delay.json,Creates an audio-rate delay line with streams.,,"[""Audio/Effects""]",[],True,input,Stream input,stream input,delay,Delay time in seconds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
delay_jolt,../NewPatch/Assets/Blocks\delay_jolt\delay_jolt.json,Delay a jolt by some amount of time.,,"[""Logic/Timing""]",[],True,input,The jolt to delay.,jolt input,speed_of_time,A multiplier for the delay constant.,stream input,delay_time,How much to delay the jolt.,stream input,output,"Sends out the same jolt as received through 'input', but delayed by the time set via the 'delay_time' stream input.",jolt output,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
desert_terrain,../NewPatch/Assets/Blocks\desert_terrain\desert_terrain.json,,,"[""Terrains""]",[],False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
device_box,../NewPatch/Assets/Blocks\device_box\device_box.json,A resizable and stylizable box to make interfaces for your devices.,,"[""Visuals/Design""]",[],True,Resize,Grab and move to resize the box.,interactive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
device_handle,../NewPatch/Assets/Blocks\device_handle\device_handle.json,Allows you to build devices that will replace your controllers when grabbed. Must be put inside a group or device to work properly.,"When you grab a group or device with a device_handle inside your controller will be hidden, and the entire device will be reoriented to replace your controller.","[""Interfaces/Special""]",[],True,Grip,Sends out a 1 when you grab the handle and 0 when you let go.,jolt output,Trigger,Sends out a 1 when you press the trigger while grabbing the handle and 0 when you release. Continuous output can be enabled via the inspector.,jolt output,Hand side,"Sends 0 for right, 1 for left, when the handle is grabbed.",jolt output,Button A Pressed,"Send 1 when A button is pressed, 0 when released.",,Button B Pressed,"Send 1 when B button is pressed, 0 when released.",,Thumbstick X,"Output thumbstick horizontal position.
-1 is left
+1 is right",,Thumbstick Y,"Output thumbstick vertical position.
-1 is down
+1 is up",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
digitalwaveguidestring,../NewPatch/Assets/Blocks\digitalWaveguideString\digitalWaveguideString.json,A string you can play by plucking it or hitting it with a marble.,,[],[],True,k_sustain,,,sustainEventReceiver,,,k_brightness,,,brightnessEventReceiver,,,Grab sphere VR,,,string,,,ChangeStringRadius,,,ChangeLength,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
digi_sphere_01,../NewPatch/Assets/Blocks\digi_sphere_01\digi_sphere_01.json,,,"[""Props""]",[],False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
digi_sphere_03,../NewPatch/Assets/Blocks\digi_sphere_03\digi_sphere_03.json,,,"[""Props""]",[],False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
digi_sphere_04,../NewPatch/Assets/Blocks\digi_sphere_04\digi_sphere_04.json,,,"[""Props""]",[],False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
digi_sphere_05,../NewPatch/Assets/Blocks\digi_sphere_05\digi_sphere_05.json,,,"[""Props""]",[],False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
digi_sphere_06,../NewPatch/Assets/Blocks\digi_sphere_06\digi_sphere_06.json,,,"[""Props""]",[],False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
digi_stage_triangle_01,../NewPatch/Assets/Blocks\digi_stage_triangle_01\digi_stage_triangle_01.json,,,"[""Stages""]",[],False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
digi_stage_triangle_02,../NewPatch/Assets/Blocks\digi_stage_triangle_02\digi_stage_triangle_02.json,,,"[""Stages""]",[],False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
digi_terrain,../NewPatch/Assets/Blocks\digi_terrain\digi_terrain.json,,,"[""Terrains""]",[],False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
divide,../NewPatch/Assets/Blocks\divide\divide.json,Divides one number by the other number and outputs the result using a simple A / B math operation. Remember to avoid dividing by zero.,,"[""Audio/Operators""]","[""multiply"", ""add"", ""subtract"", ""divide_jolt""]",True,A,"The first value, which will be divided by B.",stream input,B,"The second value, by which the A will by divided. Must not be zero.",stream input,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
divide_jolt,../NewPatch/Assets/Blocks\divide_jolt\divide_jolt.json,Divides incomming jolt number by the set stream value and outputs the result as jolt. Remember to avoid dividing by zero.,,"[""Logic/Operators""]","[""multiply_jolt"", ""add_jolt"", ""subtract_jolt"", ""divide""]",True,Calculate,"Receives value which will be divided by the stream value, triggers the calculation.",jolt input,toggle,Toggle,,Result,Emits calculated value as jolt.,jolt output,Divider,Sets the value by which the jolt input value will be divided (without triggering the output). Must not be zero.,stream input,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
doublecone,../NewPatch/Assets/Blocks\doublecone\doublecone.json,,,"[""Props""]",[],False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dreamfloor,../NewPatch/Assets/Blocks\dreamfloor\dreamfloor.json,,,"[""Props""]",[],False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
duck,../NewPatch/Assets/Blocks\duck\duck.json,,,"[""Props""]",[],False,animProgress,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eggtimer,../NewPatch/Assets/Blocks\eggtimer\eggtimer.json,The egg timer delays an event depending on the value of INa,,"[""Logic/Timing""]",[],True,s_IN," (INa) delay time (seconds)",,eR_hot, input,,e_OUT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
elbow,../NewPatch/Assets/Blocks\elbow\elbow.json,A 90 degree bend that simply passes the stream from input to output.,,"[""Logic/Connectors""]",[],True,input,,stream input,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
envelope,../NewPatch/Assets/Blocks\envelope\envelope.json,Generates attack/decay envelopes of various shapes,,"[""Audio/Generators""]",[],True,Output,Outputs the envelope.,stream output,Attack Time,How long the attack phase should take.,stream input,Decay Time,How long the decay phase should take.,stream input,Trigger Attack/Decay,Trigger an attack followed by a decay.,jolt input,Trigger Attack,"Trigger an attack, the envelope will stop at the peak.",jolt input,Trigger Decay,"Trigger a decay, making the envelope go back to zero.",jolt input,Attack Done,Sends out a jolt when the attack phase finishes.,jolt output,Decay Done,Sounds out a jolt when the decay phase finishes.,jolt output,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
envelope_ad,../NewPatch/Assets/Blocks\envelope_ad\envelope_ad.json,"A two-stage, Attack-Decay envelope with linear response. Attack begins from 0 and rises to 1. Decay begins from 1 and falls to 0. Connect the 'End of attack' output to the 'Decay trigger' input to trigger the decay stage right after attack finishes.",,"[""Deprecated""]","[""decay""]",True,Attack time,Attack stage time (in seconds).,stream input,Decay time,Decay stage time (in seconds).,stream input,End of attack,Emits jolt once the attack stage finishes. Connect to the 'Decay trigger' input to trigger the decay stage right after attack finishes.,jolt output,End of decay,Emits jolt once the decay stage finishes.,jolt output,Attack trigger,Triggers the attack stage of the envelope.,jolt input,Decay trigger,Triggers the decay stage of the envelope.,jolt input,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ep3_beer,../NewPatch/Assets/Blocks\ep3_beer\ep3_beer.json,,,"[""Props""]",[],False,Hit me,,,e_OUT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ep3_bigClayPot,../NewPatch/Assets/Blocks\ep3_bigClayPot\ep3_bigClayPot.json,,,[],[],False,Hit me,,,e_OUT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ep3_clayPlate,../NewPatch/Assets/Blocks\ep3_clayPlate\ep3_clayPlate.json,,,[],[],False,Hit me,,,e_OUT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ep3_clayPlatesBroken,../NewPatch/Assets/Blocks\ep3_clayPlatesBroken\ep3_clayPlatesBroken.json,,,[],[],False,Hit me,,,e_OUT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ep3_egg,../NewPatch/Assets/Blocks\ep3_egg\ep3_egg.json,,,"[""Props""]",[],False,Hit me,,,e_OUT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ep3_fork,../NewPatch/Assets/Blocks\ep3_fork\ep3_fork.json,,,"[""Props""]",[],False,Hit me,,,e_OUT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ep3_IndianClayPot,../NewPatch/Assets/Blocks\ep3_IndianClayPot\ep3_IndianClayPot.json,,,[],[],False,Hit me,,,e_OUT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ep3_matches,../NewPatch/Assets/Blocks\ep3_matches\ep3_matches.json,,,"[""Props""]",[],False,Hit me,,,e_OUT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ep3_peaCan,../NewPatch/Assets/Blocks\ep3_peaCan\ep3_peaCan.json,,,[],[],False,Hit me,,,e_OUT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ep3_sausage,../NewPatch/Assets/Blocks\ep3_sausage\ep3_sausage.json,,,"[""Props""]",[],False,Hit me,,,e_OUT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ep3_skull,../NewPatch/Assets/Blocks\ep3_skull\ep3_skull.json,,,"[""Props""]",[],False,Hit me,,,e_OUT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ep3_spoon,../NewPatch/Assets/Blocks\ep3_spoon\ep3_spoon.json,,,"[""Props""]",[],False,Hit me,,,e_OUT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ep3_tire,../NewPatch/Assets/Blocks\ep3_tire\ep3_tire.json,,,"[""Props""]",[],False,Hit me,,,e_OUT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ep3_umbrella_red,../NewPatch/Assets/Blocks\ep3_umbrella_red\ep3_umbrella_red.json,,,"[""Props""]",[],False,Hit me,,,e_OUT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ep3_wine,../NewPatch/Assets/Blocks\ep3_wine\ep3_wine.json,,,"[""Props""]",[],False,Hit me,,,e_OUT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
